fold,TP,TN,FN,FP
fold1,15,5,7,9
fold2,20,5,2,9
fold3,19,6,3,8
fold4,22,2,0,12
fold5,21,8,1,6
fold6,19,11,3,3
fold7,20,9,2,5
fold8,20,8,2,6
fold9,16,9,6,5
fold10,14,4,3,6
total,186,67,29,69
acc,precision,recall,F-Measure,MCC
0.7207977207977208,0.7294117647058823,0.8651162790697674,0.7914893617021277,0.39100184908072977
