fold,TP,TN,FN,FP
fold1,19,9,3,5
fold2,22,4,0,10
fold3,19,5,3,9
fold4,22,1,0,13
fold5,22,5,0,9
fold6,19,8,3,6
fold7,21,5,1,9
fold8,17,6,5,8
fold9,18,7,4,7
fold10,17,3,0,7
total,196,53,19,83
acc,precision,recall,F-Measure,MCC
0.7094017094017094,0.7025089605734767,0.9116279069767442,0.7935222672064778,0.36355336372639313
