fold,TP,TN,FN,FP
fold1,17,4,5,10
fold2,21,4,1,10
fold3,19,6,3,8
fold4,20,3,2,11
fold5,21,6,1,8
fold6,19,8,3,6
fold7,17,7,5,7
fold8,20,3,2,11
fold9,17,9,5,5
fold10,16,4,1,6
total,187,54,28,82
acc,precision,recall,F-Measure,MCC
0.6866096866096866,0.6951672862453532,0.8697674418604651,0.7727272727272726,0.3072091846217473
