fold,TP,TN,FN,FP
fold1,22,5,0,9
fold2,20,6,2,8
fold3,20,3,2,11
fold4,20,6,2,8
fold5,21,9,1,5
fold6,21,8,1,6
fold7,18,9,4,5
fold8,19,6,3,8
fold9,16,7,6,7
fold10,17,3,0,7
total,194,62,21,74
acc,precision,recall,F-Measure,MCC
0.7293447293447294,0.7238805970149254,0.9023255813953488,0.8033126293995859,0.41069313388176
