fold,TP,TN,FN,FP
fold1,20,2,2,12
fold2,22,1,0,13
fold3,16,4,6,10
fold4,22,2,0,12
fold5,20,1,2,13
fold6,22,3,0,11
fold7,21,3,1,11
fold8,22,2,0,12
fold9,19,4,3,10
fold10,17,0,0,10
total,201,22,14,114
acc,precision,recall,F-Measure,MCC
0.6353276353276354,0.638095238095238,0.9348837209302325,0.7584905660377358,0.15519472156778227
