fold,TP,TN,FN,FP
fold1,18,7,4,7
fold2,22,3,0,11
fold3,20,5,2,9
fold4,19,4,3,10
fold5,21,5,1,9
fold6,21,7,1,7
fold7,13,9,9,5
fold8,20,2,2,12
fold9,18,9,4,5
fold10,17,2,0,8
total,189,53,26,83
acc,precision,recall,F-Measure,MCC
0.6894586894586895,0.6948529411764706,0.8790697674418605,0.7761806981519507,0.3135310861514518
