fold,TP,TN,FN,FP
fold1,17,8,5,6
fold2,21,5,1,9
fold3,19,5,3,9
fold4,22,1,0,13
fold5,21,7,1,7
fold6,20,9,2,5
fold7,21,6,1,8
fold8,20,4,2,10
fold9,19,5,3,9
fold10,17,3,0,7
total,197,53,18,83
acc,precision,recall,F-Measure,MCC
0.7122507122507122,0.7035714285714286,0.9162790697674419,0.7959595959595959,0.3710911209546269
