fold,TP,TN,FN,FP
fold1,20,6,2,8
fold2,21,7,1,7
fold3,19,5,3,9
fold4,16,4,6,10
fold5,22,7,0,7
fold6,16,9,6,5
fold7,20,4,2,10
fold8,18,2,4,12
fold9,19,9,3,5
fold10,14,3,3,7
total,185,56,30,80
acc,precision,recall,F-Measure,MCC
0.6866096866096866,0.6981132075471698,0.8604651162790697,0.7708333333333334,0.3083558705253515
