fold,TP,TN,FN,FP
fold1,19,6,3,8
fold2,20,6,2,8
fold3,21,4,1,10
fold4,19,0,3,14
fold5,22,6,0,8
fold6,20,7,2,7
fold7,20,3,2,11
fold8,20,5,2,9
fold9,15,7,7,7
fold10,16,5,1,5
total,192,49,23,87
acc,precision,recall,F-Measure,MCC
0.6866096866096866,0.6881720430107527,0.8930232558139535,0.7773279352226721,0.30562249065048164
