fold,TP,TN,FN,FP
fold1,16,6,6,8
fold2,22,3,0,11
fold3,21,4,1,10
fold4,20,1,2,13
fold5,22,6,0,8
fold6,22,7,0,7
fold7,16,4,6,10
fold8,20,6,2,8
fold9,15,10,7,4
fold10,17,3,0,7
total,191,50,24,86
acc,precision,recall,F-Measure,MCC
0.6866096866096866,0.6895306859205776,0.8883720930232558,0.7764227642276424,0.3057774075122672
