fold,TP,TN,FN,FP
fold1,20,3,2,11
fold2,22,4,0,10
fold3,20,5,2,9
fold4,17,0,5,14
fold5,22,7,0,7
fold6,19,8,3,6
fold7,16,4,6,10
fold8,20,8,2,6
fold9,16,8,6,6
fold10,15,2,2,8
total,187,49,28,87
acc,precision,recall,F-Measure,MCC
0.6723646723646723,0.6824817518248175,0.8697674418604651,0.7648261758691206,0.2708395599767832
