fold,TP,TN,FN,FP
fold1,17,7,5,7
fold2,21,6,1,8
fold3,18,7,4,7
fold4,19,6,3,8
fold5,22,9,0,5
fold6,21,10,1,4
fold7,17,7,5,7
fold8,20,5,2,9
fold9,21,9,1,5
fold10,14,4,3,6
total,190,70,25,66
acc,precision,recall,F-Measure,MCC
0.7407407407407407,0.7421875,0.8837209302325582,0.8067940552016984,0.4368732525104849
