fold,TP,TN,FN,FP
fold1,18,6,4,8
fold2,19,8,3,6
fold3,14,2,8,12
fold4,17,6,5,8
fold5,19,5,3,9
fold6,17,6,5,8
fold7,17,7,5,7
fold8,17,7,5,7
fold9,21,6,1,8
fold10,12,3,5,7
total,171,56,44,80
acc,precision,recall,F-Measure,MCC
0.6467236467236467,0.6812749003984063,0.7953488372093023,0.7339055793991415,0.2235426122254998
