fold,TP,TN,FN,FP
fold1,8,21,5,2
fold2,8,18,5,5
fold3,8,21,6,1
fold4,4,23,6,3
fold5,11,17,4,4
fold6,7,19,6,4
fold7,11,19,2,4
fold8,8,17,7,4
fold9,8,18,8,2
fold10,8,12,6,1
total,81,185,55,30
acc,precision,recall,F-Measure,MCC
0.7578347578347578,0.7297297297297297,0.5955882352941176,0.6558704453441295,0.4777901867804012
