fold,TP,TN,FN,FP
fold1,21,4,1,10
fold2,22,4,0,10
fold3,15,2,7,12
fold4,21,1,1,13
fold5,21,3,1,11
fold6,21,3,1,11
fold7,18,2,4,12
fold8,19,4,3,10
fold9,18,5,4,9
fold10,15,3,2,7
total,191,31,24,105
acc,precision,recall,F-Measure,MCC
0.6324786324786325,0.6452702702702703,0.8883720930232558,0.7475538160469667,0.15588012576539106
