fold,TP,TN,FN,FP
fold1,19,6,3,8
fold2,22,2,0,12
fold3,19,5,3,9
fold4,20,0,2,14
fold5,22,6,0,8
fold6,19,7,3,7
fold7,21,3,1,11
fold8,20,6,2,8
fold9,14,6,8,8
fold10,17,3,0,7
total,193,44,22,92
acc,precision,recall,F-Measure,MCC
0.6752136752136753,0.6771929824561403,0.8976744186046511,0.7719999999999999,0.27579534349845003
