fold,TP,TN,FN,FP
fold1,21,6,1,8
fold2,20,4,2,10
fold3,18,6,4,8
fold4,22,3,0,11
fold5,21,9,1,5
fold6,17,9,5,5
fold7,18,6,4,8
fold8,15,6,7,8
fold9,17,8,5,6
fold10,16,2,1,8
total,185,59,30,77
acc,precision,recall,F-Measure,MCC
0.6951566951566952,0.7061068702290076,0.8604651162790697,0.7756813417190775,0.3295463770957004
