fold,TP,TN,FN,FP
fold1,20,7,2,7
fold2,21,6,1,8
fold3,19,9,3,5
fold4,20,4,2,10
fold5,22,9,0,5
fold6,21,12,1,2
fold7,17,10,5,4
fold8,19,7,3,7
fold9,19,10,3,4
fold10,13,4,4,6
total,191,78,24,58
acc,precision,recall,F-Measure,MCC
0.7663817663817664,0.7670682730923695,0.8883720930232558,0.8232758620689654,0.4956079928810031
