fold,TP,TN,FN,FP
fold1,18,4,4,10
fold2,20,5,2,9
fold3,17,5,5,9
fold4,20,4,2,10
fold5,20,4,2,10
fold6,14,8,8,6
fold7,17,6,5,8
fold8,19,4,3,10
fold9,17,8,5,6
fold10,13,3,4,7
total,175,51,40,85
acc,precision,recall,F-Measure,MCC
0.6438746438746439,0.6730769230769231,0.813953488372093,0.736842105263158,0.21005654989269895
