fold,TP,TN,FN,FP
fold1,16,4,6,10
fold2,18,7,4,7
fold3,16,4,6,10
fold4,18,3,4,11
fold5,13,5,9,9
fold6,18,3,4,11
fold7,19,3,3,11
fold8,22,2,0,12
fold9,18,3,4,11
fold10,11,2,6,8
total,169,36,46,100
acc,precision,recall,F-Measure,MCC
0.584045584045584,0.6282527881040892,0.786046511627907,0.6983471074380165,0.05843353370657177
