fold,TP,TN,FN,FP
fold1,20,7,2,7
fold2,20,6,2,8
fold3,17,5,5,9
fold4,21,4,1,10
fold5,22,10,0,4
fold6,19,11,3,3
fold7,21,5,1,9
fold8,20,6,2,8
fold9,20,9,2,5
fold10,15,5,2,5
total,195,68,20,68
acc,precision,recall,F-Measure,MCC
0.7492877492877493,0.7414448669201521,0.9069767441860465,0.8158995815899582,0.4574451916294259
