fold,TP,TN,FN,FP
fold1,22,5,0,9
fold2,21,6,1,8
fold3,17,6,5,8
fold4,20,6,2,8
fold5,21,8,1,6
fold6,21,8,1,6
fold7,18,8,4,6
fold8,19,5,3,9
fold9,16,7,6,7
fold10,17,3,0,7
total,192,62,23,74
acc,precision,recall,F-Measure,MCC
0.7236467236467237,0.7218045112781954,0.8930232558139535,0.7983367983367983,0.39677687615642043
