fold,TP,TN,FN,FP
fold1,15,7,7,7
fold2,19,2,3,12
fold3,21,2,1,12
fold4,20,2,2,12
fold5,22,3,0,11
fold6,22,0,0,14
fold7,20,1,2,13
fold8,17,3,5,11
fold9,15,6,7,8
fold10,17,1,0,9
total,188,27,27,109
acc,precision,recall,F-Measure,MCC
0.6125356125356125,0.632996632996633,0.8744186046511628,0.7343750000000001,0.09849792163844699
