fold,TP,TN,FN,FP
fold1,18,7,4,7
fold2,19,5,3,9
fold3,18,6,4,8
fold4,19,7,3,7
fold5,20,10,2,4
fold6,19,11,3,3
fold7,13,9,9,5
fold8,17,5,5,9
fold9,18,11,4,3
fold10,17,2,0,8
total,178,73,37,63
acc,precision,recall,F-Measure,MCC
0.7150997150997151,0.7385892116182573,0.827906976744186,0.7807017543859649,0.38298861252461563
