fold,TP,TN,FN,FP
fold1,16,7,6,7
fold2,20,7,2,7
fold3,18,8,4,6
fold4,19,4,3,10
fold5,21,9,1,5
fold6,21,10,1,4
fold7,16,8,6,6
fold8,16,9,6,5
fold9,18,6,4,8
fold10,12,5,5,5
total,177,73,38,63
acc,precision,recall,F-Measure,MCC
0.7122507122507122,0.7375,0.8232558139534883,0.778021978021978,0.37718014969908387
