fold,TP,TN,FN,FP
fold1,16,6,6,8
fold2,18,8,4,6
fold3,14,10,8,4
fold4,18,8,4,6
fold5,15,9,7,5
fold6,19,7,3,7
fold7,18,4,4,10
fold8,17,8,5,6
fold9,17,7,5,7
fold10,14,4,3,6
total,166,71,49,65
acc,precision,recall,F-Measure,MCC
0.6752136752136753,0.7186147186147186,0.772093023255814,0.7443946188340808,0.302108991100228
