fold,TP,TN,FN,FP
fold1,18,8,4,6
fold2,20,7,2,7
fold3,18,6,4,8
fold4,21,6,1,8
fold5,22,10,0,4
fold6,19,10,3,4
fold7,17,6,5,8
fold8,20,7,2,7
fold9,18,10,4,4
fold10,15,4,2,6
total,188,74,27,62
acc,precision,recall,F-Measure,MCC
0.7464387464387464,0.752,0.8744186046511628,0.8086021505376344,0.45039242068552054
