fold,TP,TN,FN,FP
fold1,16,8,6,6
fold2,19,7,3,7
fold3,14,7,8,7
fold4,18,4,4,10
fold5,19,9,3,5
fold6,19,11,3,3
fold7,16,7,6,7
fold8,16,8,6,6
fold9,17,10,5,4
fold10,15,4,2,6
total,169,75,46,61
acc,precision,recall,F-Measure,MCC
0.6951566951566952,0.7347826086956522,0.786046511627907,0.7595505617977528,0.3459615718811366
