fold,TP,TN,FN,FP
fold1,19,7,3,7
fold2,22,4,0,10
fold3,20,6,2,8
fold4,21,2,1,12
fold5,22,6,0,8
fold6,19,4,3,10
fold7,19,5,3,9
fold8,17,7,5,7
fold9,17,8,5,6
fold10,16,2,1,8
total,192,51,23,85
acc,precision,recall,F-Measure,MCC
0.6923076923076923,0.6931407942238267,0.8930232558139535,0.7804878048780487,0.320114552855148
