fold,TP,TN,FN,FP
fold1,15,6,7,8
fold2,21,4,1,10
fold3,15,4,7,10
fold4,20,2,2,12
fold5,22,8,0,6
fold6,20,6,2,8
fold7,19,6,3,8
fold8,18,8,4,6
fold9,17,6,5,8
fold10,16,4,1,6
total,183,54,32,82
acc,precision,recall,F-Measure,MCC
0.6752136752136753,0.690566037735849,0.8511627906976744,0.7625,0.2811616718935931
