fold,TP,TN,FN,FP
fold1,20,10,2,4
fold2,21,7,1,7
fold3,16,6,6,8
fold4,18,7,4,7
fold5,22,8,0,6
fold6,17,11,5,3
fold7,16,8,6,6
fold8,17,6,5,8
fold9,19,11,3,3
fold10,12,5,5,5
total,178,79,37,57
acc,precision,recall,F-Measure,MCC
0.7321937321937322,0.7574468085106383,0.827906976744186,0.7911111111111111,0.42337509744614477
