fold,TP,TN,FN,FP
fold1,18,7,4,7
fold2,21,6,1,8
fold3,20,6,2,8
fold4,20,0,2,14
fold5,22,7,0,7
fold6,21,8,1,6
fold7,19,8,3,6
fold8,21,3,1,11
fold9,19,7,3,7
fold10,16,3,1,7
total,197,55,18,81
acc,precision,recall,F-Measure,MCC
0.717948717948718,0.7086330935251799,0.9162790697674419,0.799188640973631,0.38493854803346855
