alpha\evaluation,acc,precision,recall,F-Measure,MCC
drop0,0.7777777777777778,0.801762114537445,0.8465116279069768,0.8235294117647058,0.5255360100539389
drop1,0.7678062678062678,0.7960088691796009,0.8348837209302326,0.8149829738933031,0.5048270438731117
drop2,0.7730294396961064,0.799410029498525,0.8403100775193798,0.819349962207105,0.5157835608292812
drop3,0.7727920227920227,0.7995570321151716,0.8395348837209302,0.819058423142371,0.5153885829769025
drop4,0.7766381766381767,0.8035555555555556,0.8409302325581396,0.8218181818181818,0.5239660281650865
drop5,0.7763532763532763,0.8031088082901554,0.8410852713178295,0.8216584627035215,0.523280375552284
drop6,0.7761497761497762,0.8020240354206198,0.8425249169435216,0.8217757615035646,0.5225345308318208
drop7,0.7738603988603988,0.8005540166204986,0.8401162790697675,0.8198581560283689,0.5177342915831912
drop8,0.7739791073124407,0.8017795353435492,0.8382428940568476,0.8196058615462355,0.5183810892487664
drop9,0.7732193732193732,0.8014247551202137,0.8372093023255814,0.818926296633303,0.5168407720447543
drop10,0.7731157731157731,0.8008080808080809,0.8380549682875265,0.81900826446281,0.5164297290323415
drop11,0.7723171889838556,0.7998520162782093,0.837984496124031,0.8184743516941132,0.5146033943651283
drop12,0.7720797720797721,0.8,0.8372093023255814,0.8181818181818183,0.514213170463887
drop13,0.7718762718762718,0.7999364877738965,0.8368770764119602,0.8179899334307517,0.5138117394092089
drop14,0.7713200379867047,0.7999406352033245,0.8356589147286821,0.8174097664543525,0.5127799050560204
drop15,0.7711894586894587,0.799721835883171,0.8357558139534884,0.8173418621179814,0.5124583866914354
drop16,0.7712418300653595,0.7997382198952879,0.8358413132694938,0.817391304347826,0.5125615034503993
drop17,0.7704969927192149,0.7992087042532147,0.8351421188630491,0.8167803891837251,0.5109877584414106
drop18,0.7711800869695606,0.7994383337233794,0.8362301101591187,0.8174204355108877,0.5123386225954488
drop19,0.7712250712250712,0.8,0.8353488372093023,0.8172923777019341,0.5126253978877325
drop20,0.7712657712657712,0.8,0.835437430786268,0.8173347778981582,0.5127008325370418
drop21,0.7710437710437711,0.7997975708502024,0.8353065539112051,0.817166494312306,0.5122157221200596
drop22,0.7705933358107271,0.7991874637260592,0.8353892821031345,0.8168874826972514,0.5111586258544084
drop23,0.7700617283950617,0.7988132764694975,0.8348837209302326,0.8164502984933195,0.5100367352836955
drop24,0.7699145299145299,0.7988956180976131,0.8344186046511628,0.8162708162708163,0.5097944502144307
drop25,0.7698882314266929,0.7989037341555327,0.8343470483005366,0.8162408120406021,0.5097487872917925
drop26,0.7691252506067321,0.7979897841489537,0.8342807924203273,0.8157318511032509,0.5080001199521723
drop27,0.768925518925519,0.7979653473215705,0.8338870431893688,0.8155308260904881,0.5076216333320468
drop28,0.7687395618430101,0.7978511128165772,0.8336808340016039,0.8153725490196079,0.5072355177920582
drop29,0.7686609686609687,0.7976861465440522,0.8337984496124031,0.8153426318981201,0.507028988673299
drop30,0.7677603161474129,0.7966733581875538,0.8336084021005251,0.8147224869858495,0.50498737442914
drop31,0.7677172364672364,0.7967208559121857,0.8334302325581395,0.814662214960574,0.5049254328175339
drop32,0.7680221013554347,0.7969549986526543,0.8336856941508104,0.8149066611558862,0.5055762001497163
drop33,0.7678062678062678,0.7967830521773245,0.833515731874145,0.8147355753159056,0.5051131757790435
drop34,0.7674399674399675,0.796569250317662,0.8330897009966778,0.8144202663202339,0.504356538513086
drop35,0.7673314339981007,0.7966625463535228,0.832687338501292,0.8142766898294379,0.5041912431671423
drop36,0.7674597674597674,0.7967528562838244,0.8328095537397863,0.8143822987092809,0.5044619591111799
drop37,0.7674313990103464,0.7966518379770545,0.8329253365973073,0.8143848731450455,0.5043716778645094
drop38,0.7676236394185112,0.7968963943404838,0.8329159212880143,0.8145081345851071,0.5048182424626398
