alpha\evaluation,acc,precision,recall,F-Measure,MCC
drop0,0.7692307692307693,0.7991071428571429,0.8325581395348837,0.8154897494305239,0.5086112414014159
drop1,0.7763532763532763,0.8053691275167785,0.8372093023255814,0.8209806157354619,0.5240643547669466
drop2,0.7758784425451092,0.8075187969924812,0.8325581395348837,0.8198473282442748,0.5239749817038286
drop3,0.7763532763532763,0.8074324324324325,0.8337209302325581,0.8203661327231122,0.5248132815182991
drop4,0.7772079772079772,0.8086642599277978,0.8334883720930233,0.820888685295465,0.5268381370811887
drop5,0.7782526115859449,0.8091660405709993,0.8348837209302326,0.8218237314002289,0.5289411235784326
drop6,0.7769637769637769,0.8077170418006431,0.8345514950166113,0.8209150326797386,0.5260401030127664
drop7,0.7770655270655271,0.8086907449209932,0.833139534883721,0.8207331042382588,0.5265869465760442
drop8,0.776511554289332,0.8077115673510266,0.8335917312661498,0.8204476093591048,0.5252072510666583
drop9,0.7754985754985755,0.8070333633904418,0.8325581395348837,0.8195970695970696,0.5230973621203681
drop10,0.7754467754467754,0.8077239112571898,0.8312896405919662,0.8193373619504064,0.5232635839302668
drop11,0.775403608736942,0.8066816816816816,0.8329457364341085,0.8196033562166285,0.5227916786757673
drop12,0.7764628533859304,0.8076256499133448,0.8336314847942755,0.8204225352112675,0.5250860188678199
drop13,0.7753357753357754,0.8070231958762887,0.8322259136212624,0.8194308145240432,0.5227955486178862
drop14,0.7751187084520418,0.8069172932330827,0.831937984496124,0.8192366412213741,0.5223585709235681
drop15,0.7743945868945868,0.8061425753733445,0.8316860465116279,0.8187151237659178,0.5207414713002722
drop16,0.7745935981230099,0.806203605514316,0.8320109439124487,0.8189039989228492,0.5211285468109558
drop17,0.7750870528648306,0.8068153345026309,0.8320413436692506,0.8192341941228852,0.5222621807630851
drop18,0.7747788274104064,0.8061151931737378,0.8325581395348837,0.8191233140655106,0.5214344222419224
drop19,0.7742165242165242,0.8051247471341875,0.8330232558139535,0.8188364384501087,0.5200323710926513
drop20,0.774657441324108,0.8055674518201285,0.8332225913621263,0.8191616766467065,0.5210069652438056
drop21,0.7750582750582751,0.8058450848150419,0.833615221987315,0.8194949599916865,0.5218464119141841
drop22,0.7745571658615137,0.8049970720281086,0.8339737108190091,0.8192292411601112,0.5206110444018199
drop23,0.7746913580246914,0.8050879161990273,0.834108527131783,0.8193413287645155,0.5208915599764022
drop24,0.7749287749287749,0.8052064631956912,0.8344186046511628,0.8195523069894929,0.5213723888549261
drop25,0.774600043830813,0.8049369929224927,0.8341681574239713,0.8192919265571466,0.5206678037886956
drop26,0.7735570328162921,0.8037522829154906,0.8339362618432385,0.8185661143050389,0.518309834059798
drop27,0.7739112739112739,0.8041319666880204,0.8340531561461794,0.8188193085453359,0.5191024991582966
drop28,0.7744375675410158,0.8046403712296983,0.8343223736968725,0.8192125984251967,0.5202593215783823
drop29,0.7739791073124407,0.8043673347292851,0.8337984496124031,0.8188185140073082,0.5193143873768934
drop30,0.7735502251631284,0.8042879907286687,0.8330082520630158,0.8183962264150944,0.518496391901202
drop31,0.7739494301994302,0.8044606536681161,0.8335755813953488,0.8187593689770861,0.5192943812308309
drop32,0.774238107571441,0.8046789989118607,0.8338266384778013,0.8189935626773724,0.5199063350998626
drop33,0.7740070387129211,0.8043277477239741,0.8339261285909713,0.8188595607495467,0.5193511531956521
drop34,0.7741147741147741,0.8044871794871795,0.8338870431893688,0.8189233278955955,0.5196084100930334
