alpha\evaluation,acc,precision,recall,F-Measure,MCC
drop0,0.7749287749287749,0.8148148148148148,0.8186046511627907,0.8167053364269142,0.5252059722332695
drop1,0.7834757834757835,0.8217592592592593,0.8255813953488372,0.8236658932714619,0.5432368110687427
drop2,0.7834757834757835,0.8192955589586524,0.8294573643410853,0.8243451463790448,0.5422648302591706
drop3,0.7784900284900285,0.8108720271800679,0.8325581395348837,0.8215720022948938,0.5300079459215559
drop4,0.7783475783475784,0.8118181818181818,0.8306976744186046,0.8211494252873563,0.5301068774632505
drop5,0.7811016144349477,0.813777441332324,0.8333333333333334,0.8234392952891612,0.5358623793319961
drop6,0.7785917785917786,0.81060116354234,0.8332225913621263,0.8217562254259502,0.53009271947968
drop7,0.7806267806267806,0.8111612175873731,0.8366279069767442,0.8236977676016028,0.5340355936361776
drop8,0.7784108895220007,0.8089044522261131,0.8356589147286821,0.8220640569395018,0.5291373387279997
drop9,0.7794871794871795,0.80990990990991,0.8362790697674418,0.822883295194508,0.5314845708986542
drop10,0.7788137788137788,0.8095043015157722,0.8355179704016913,0.8223054515189345,0.5300969971817201
drop11,0.7799145299145299,0.8105975197294251,0.836046511627907,0.8231253577561535,0.5325200049479905
drop12,0.7786543940390094,0.8093587521663779,0.8354203935599285,0.8221830985915493,0.5297506740935192
drop13,0.7787952787952788,0.8096618357487922,0.8352159468438538,0.8222403924775143,0.530120199080363
drop14,0.7758784425451092,0.807149294082307,0.8331782945736435,0.8199572779981692,0.523836820560878
drop15,0.7772435897435898,0.8080495356037152,0.834593023255814,0.8211068211068211,0.5266767078125937
drop16,0.7779453661806603,0.8088547189819725,0.8347469220246237,0.8215968762622863,0.5282622548004977
drop17,0.7773029439696106,0.8085692808819844,0.8338501291989664,0.8210151380231523,0.5269771342937382
drop18,0.7780776728145149,0.808576166785122,0.8354957160342718,0.821815555020467,0.5284042759489719
drop19,0.778062678062678,0.8086447546150383,0.8353488372093023,0.8217799130633722,0.5284015619294766
drop20,0.7777777777777778,0.8084923868754021,0.8349944629014396,0.8215297450424929,0.5278215186748868
drop21,0.7775187775187775,0.80810147299509,0.8350951374207188,0.8213765855687253,0.5272021238216489
drop22,0.7765390808869069,0.807158224134559,0.8345803842264914,0.8206402863392324,0.5250537554501731
