alpha\evaluation,acc,precision,recall,F-Measure,MCC
drop0,0.7492877492877493,0.7873303167420814,0.8093023255813954,0.798165137614679,0.46781179075560786
drop1,0.7663817663817664,0.7982062780269058,0.827906976744186,0.8127853881278537,0.5030477062222487
drop2,0.7654320987654321,0.7961309523809523,0.8294573643410853,0.812452543659833,0.5004978709952579
drop3,0.7642450142450142,0.7942157953281423,0.8302325581395349,0.8118249005116543,0.49757682811740345
drop4,0.7646723646723647,0.7960644007155635,0.827906976744186,0.8116735066119471,0.4990841928219914
drop5,0.7663817663817664,0.7977611940298508,0.8286821705426357,0.8129277566539924,0.5028719523644384
drop6,0.7692307692307693,0.8010269576379975,0.8292358803986711,0.8148873653281097,0.5093469697509988
drop7,0.7713675213675214,0.803490990990991,0.8296511627906977,0.8163615560640732,0.5141998665950069
drop8,0.7704969927192149,0.8021978021978022,0.8299741602067183,0.8158496316992634,0.5121115249365235
drop9,0.7700854700854701,0.8012561686855092,0.8306976744186046,0.8157113496232017,0.5109967163898854
drop10,0.77000777000777,0.8013055895552835,0.8304439746300212,0.8156146179401993,0.5108735929351785
drop11,0.7706552706552706,0.8015695067264574,0.8313953488372093,0.8162100456621004,0.5121598859967624
drop12,0.7712031558185405,0.8024179620034543,0.8311270125223613,0.8165202108963093,0.5134868071997104
drop13,0.7714692714692715,0.801726894787336,0.832890365448505,0.8170115691706046,0.513713782176713
drop14,0.7705603038936373,0.800775424992544,0.8325581395348837,0.8163575554879903,0.5116850715091283
drop15,0.7713675213675214,0.8014541387024608,0.833139534883721,0.8169897377423034,0.5134245752291645
drop16,0.771409418468242,0.8012095713910071,0.8336525307797538,0.817109144542773,0.5134107158187324
drop17,0.770971826527382,0.8011434253044991,0.8328165374677002,0.81667300139364,0.5125801482817216
drop18,0.7711800869695606,0.8012714857546503,0.8330477356181151,0.8168506961113778,0.5130113199412877
drop19,0.7716524216524216,0.8018804566823371,0.8330232558139535,0.81715524124558,0.514108145610151
drop20,0.7711301044634378,0.8008510638297872,0.8336655592469546,0.8169289202387412,0.5127626373745527
drop21,0.7702667702667703,0.8000406008932196,0.8331923890063425,0.8162800331400166,0.5108693865074421
drop22,0.77046946612164,0.799844840961986,0.8339737108190091,0.8165528165528165,0.5111705759868074
drop23,0.771011396011396,0.8005581395348838,0.8339147286821705,0.8168960607498813,0.5124350645426445
drop24,0.7696866096866097,0.7992505353319058,0.8333023255813954,0.8159213043082248,0.5095049457213936
drop25,0.769778654394039,0.7994849785407725,0.8330948121645796,0.8159439334209374,0.509762203833126
drop26,0.769863880974992,0.8,0.8323858742463394,0.8158716758125791,0.5101124376608929
drop27,0.7698412698412699,0.8001597444089457,0.8320598006644518,0.8157980456026058,0.5101311832747443
drop28,0.7697219766185284,0.8002778206513351,0.8315958299919808,0.8156363064338525,0.5099569109648895
drop29,0.7692307692307693,0.8000895789787996,0.8308527131782946,0.8151810161241254,0.5089844411988195
drop30,0.7695064791838986,0.8002311136790409,0.8312078019504876,0.8154253753311745,0.5095438525643768
drop31,0.7698539886039886,0.800307649279821,0.8318313953488372,0.8157650915829235,0.5102105575296486
drop32,0.7703531036864371,0.8010044794353197,0.8317124735729386,0.8160696999031946,0.5113910059948408
