alpha\evaluation,acc,precision,recall,F-Measure,MCC
drop0,0.7635327635327636,0.7946428571428571,0.827906976744186,0.8109339407744873,0.49644118579217894
drop1,0.7649572649572649,0.7899343544857768,0.8395348837209302,0.8139797068771139,0.4973292765339975
drop2,0.7711301044634378,0.7997032640949555,0.8356589147286821,0.8172858225928733,0.5123415369781084
drop3,0.7713675213675214,0.8004459308807135,0.8348837209302326,0.8173022196926579,0.5130519025957111
drop4,0.7686609686609687,0.7968056787932565,0.8353488372093023,0.815622161671208,0.5067051991501688
drop5,0.7725546058879392,0.8010393466963622,0.8364341085271317,0.8183541903678422,0.5154675137742353
drop6,0.7757427757427757,0.8034351145038168,0.839202657807309,0.8209294767630808,0.5222492959834688
drop7,0.7788461538461539,0.8068118369625907,0.8401162790697675,0.8231273141555112,0.5292067848743461
drop8,0.7784108895220007,0.8061477441745166,0.8403100775193798,0.8228744939271255,0.5281665537676568
drop9,0.7806267806267806,0.807212822796082,0.8432558139534884,0.8248407643312102,0.5326781533008165
drop10,0.7826987826987827,0.8096590909090909,0.8435517970401691,0.8262580244357011,0.5373768273868851
drop11,0.7818138651471985,0.8095415579575103,0.8418604651162791,0.8253847615428463,0.5356786763419308
drop12,0.7819417050186281,0.8090659340659341,0.8429338103756708,0.8256527072016822,0.5357598269912521
drop13,0.7806267806267806,0.8086261980830671,0.8408637873754152,0.8244299674267102,0.53315062106133
drop14,0.7813865147198481,0.80973715651135,0.8406201550387596,0.8248897002890612,0.5349465751865488
drop15,0.780982905982906,0.8091773922775601,0.8406976744186047,0.8246364414029085,0.5340029223820092
drop16,0.7809619574325457,0.80927291886196,0.8404924760601915,0.8245873037176219,0.5339964173793649
drop17,0.7806267806267806,0.808955223880597,0.8403100775193798,0.8243346007604563,0.5332628065891054
drop18,0.7810766231818863,0.8096249115357396,0.8401468788249694,0.8246035559827006,0.5343306031906369
drop19,0.7813390313390314,0.8100470957613815,0.84,0.8247516839821898,0.5349642120607812
