alpha\evaluation,acc,precision,recall,F-Measure,MCC
drop0,0.7692307692307693,0.7991071428571429,0.8325581395348837,0.8154897494305239,0.5086112414014159
drop1,0.7777777777777778,0.8071748878923767,0.8372093023255814,0.821917808219178,0.5273468522876185
drop2,0.7739791073124407,0.8023774145616642,0.8372093023255814,0.819423368740516,0.5185922398911432
drop3,0.7777777777777778,0.8051224944320713,0.8406976744186047,0.8225255972696246,0.5266329690426383
drop4,0.7749287749287749,0.8035714285714286,0.8372093023255814,0.8200455580865604,0.5207812970106529
drop5,0.775403608736942,0.8032665181885672,0.8387596899224806,0.8206295032233598,0.5215577621024551
drop6,0.7761497761497762,0.803946530872056,0.839202657807309,0.8211963589076723,0.5231863091904498
drop7,0.7774216524216524,0.8053541550474066,0.8395348837209302,0.8220893822943353,0.5260467620406913
drop8,0.7787274453941121,0.8065476190476191,0.8403100775193798,0.8230827638572512,0.5288946674168108
drop9,0.7792022792022792,0.8067826863007586,0.8409302325581396,0.8235026189933956,0.5298623174700217
drop10,0.7788137788137788,0.8064908722109534,0.8405919661733615,0.8231884057971014,0.5290366337191537
drop11,0.7784900284900285,0.8057927961381359,0.8410852713178295,0.8230608761615779,0.5281938840831301
drop12,0.7788735481043173,0.806241426611797,0.8411449016100179,0.8233234109613028,0.5290638023025277
drop13,0.7785917785917786,0.8060509554140127,0.8408637873754152,0.8230894308943089,0.5284718422319662
drop14,0.7772079772079772,0.8044510385756677,0.8406201550387596,0.8221379833206975,0.5253378109304065
drop15,0.7772435897435898,0.8046200946284442,0.8404069767441861,0.8221242712924783,0.5254620798911442
drop16,0.7766046589576001,0.8044048243314106,0.8393980848153215,0.8215289864774401,0.5241940091582283
drop17,0.7766698322253878,0.8045578399801833,0.8392764857881136,0.8215505248513975,0.5243685879106394
drop18,0.7752286699655121,0.802526906878802,0.8396572827417381,0.820672329225984,0.520974700678211
drop19,0.7757834757834757,0.8031583629893239,0.8397674418604651,0.8210550250113688,0.5222297874606104
drop20,0.7756071089404423,0.8028795257251746,0.8398671096345515,0.8209569170816194,0.5218040051584274
drop21,0.7758352758352758,0.8033582844426461,0.8395348837209302,0.821048278713946,0.5223955114631825
drop22,0.7741855567942525,0.8020510835913313,0.8382204246713852,0.8197369722139819,0.5188613075332899
drop23,0.7740978157644824,0.8020775366351326,0.837984496124031,0.8196379490095724,0.5187070826195652
drop24,0.7735612535612536,0.8017456359102244,0.8373953488372093,0.8191828191828192,0.5175907757162463
drop25,0.7738330046022354,0.8020904729266621,0.8373881932021466,0.8193593558550674,0.5182186631625147
drop26,0.7737680700643663,0.8024120270940029,0.8366925064599483,0.8191937932197673,0.5182125346606179
drop27,0.7742165242165242,0.8029650884744142,0.8367109634551495,0.8194907671032295,0.5192427553113802
drop28,0.7735533942430494,0.802493842364532,0.8360866078588612,0.8189458801351032,0.517843697380837
drop29,0.7736942070275403,0.8025591429846749,0.8362790697674418,0.8190722040847316,0.5181282550534776
drop30,0.7733664185277088,0.8023908973066398,0.8358589647411853,0.8187830687830687,0.5174600779791225
