alpha\evaluation,acc,precision,recall,F-Measure,MCC
drop0,0.7777777777777778,0.8127853881278538,0.827906976744186,0.8202764976958526,0.5294507431272523
drop1,0.7749287749287749,0.8105022831050228,0.8255813953488372,0.8179723502304148,0.5234143236236576
drop2,0.7692307692307693,0.8018018018018018,0.827906976744186,0.8146453089244851,0.5096512601993103
drop3,0.76994301994302,0.8040770101925255,0.8255813953488372,0.8146873207114171,0.5118498431721163
drop4,0.770940170940171,0.8061874431301183,0.8241860465116279,0.8150873965041399,0.5145018794793839
drop5,0.7711301044634378,0.8065250379362671,0.8240310077519379,0.8151840490797545,0.514980856676
drop6,0.77004477004477,0.8044041450777202,0.825249169435216,0.8146933420793703,0.5121656473427736
drop7,0.7695868945868946,0.80465644520159,0.8238372093023256,0.8141338695777075,0.5114453444576592
drop8,0.7679645457423235,0.8023138832997988,0.8242894056847545,0.813153199082335,0.5075684979082309
drop9,0.7686609686609687,0.8029891304347826,0.8246511627906977,0.8136759981642956,0.5090980970918398
drop10,0.7697487697487697,0.8029556650246306,0.827061310782241,0.8148302436992293,0.5110487409422869
drop11,0.7680436847103513,0.8016560030109146,0.8255813953488372,0.8134428107695245,0.5074431201024591
drop12,0.7663817663817664,0.7996533795493934,0.8254025044722719,0.8123239436619719,0.5036286048296031
drop13,0.7661782661782662,0.7996779388083736,0.8249169435215947,0.8121013900245299,0.5032710800368307
drop14,0.7663817663817664,0.8001805597351791,0.8244961240310078,0.812156383628589,0.503843737208697
drop15,0.7663817663817664,0.8003952569169961,0.8241279069767442,0.812088226869092,0.5039318763065465
drop16,0.767554885201944,0.8014354066985646,0.8248974008207934,0.8129971686665767,0.5064715044433834
drop17,0.7663817663817664,0.8,0.8248062015503876,0.8122137404580153,0.5037698469505718
drop18,0.7668316089368721,0.800332383665717,0.8252141982864137,0.8125828612751598,0.5047172595462764
drop19,0.7659544159544159,0.7998194538478899,0.8241860465116279,0.8118199518955447,0.5029254238054118
drop20,0.7655677655677655,0.7996129864545259,0.8236987818383167,0.8114771983416976,0.5021441586293341
drop21,0.7658637658637658,0.7998768472906403,0.8238900634249472,0.8117058946052905,0.5027858195430966
drop22,0.7653908088690697,0.7995287649715296,0.8234580384226491,0.8113169954174138,0.5017909699336536
drop23,0.7654320987654321,0.7995859992472714,0.8234496124031008,0.8113423715867862,0.5018889375745623
drop24,0.7656980056980057,0.7999277064883427,0.8234418604651162,0.8115144847818115,0.5025086318837892
drop25,0.7660530352838045,0.8001737619461338,0.8237924865831843,0.8118113706478625,0.5032489310679898
drop26,0.7657486546375435,0.79969904698211,0.8239448751076658,0.8116409299168504,0.5025052777290526
drop27,0.7644485144485145,0.7982611495733376,0.8235880398671096,0.8107268416319189,0.4995702473052152
