alpha\evaluation,acc,precision,recall,F-Measure,MCC
drop0,0.7863247863247863,0.8181818181818182,0.8372093023255814,0.8275862068965518,0.5470346369465978
drop1,0.7877492877492878,0.8215102974828375,0.8348837209302326,0.8281430219146483,0.550845610446326
drop2,0.7863247863247863,0.8191489361702128,0.8356589147286821,0.8273215656178051,0.5473828106774657
drop3,0.7841880341880342,0.8161180476730987,0.836046511627907,0.8259620907524411,0.5423702341061929
drop4,0.7789173789173789,0.8080717488789237,0.838139534883721,0.8228310502283105,0.5297767668941555
drop5,0.7792022792022792,0.8089887640449438,0.8372093023255814,0.822857142857143,0.530628871601179
drop6,0.7785917785917786,0.8078155028827675,0.837873754152824,0.822570123939987,0.5290825055780021
drop7,0.7752849002849003,0.8047006155567991,0.836046511627907,0.8200741374394068,0.5218457304827325
drop8,0.7768281101614435,0.8059701492537313,0.8372093023255814,0.8212927756653993,0.5251585787958608
drop9,0.7763532763532763,0.8050961108627627,0.8376744186046512,0.821062229313882,0.5239675890120815
drop10,0.7762237762237763,0.8052053680357869,0.8372093023255814,0.8208955223880597,0.5237659193571516
drop11,0.775403608736942,0.8039434523809523,0.8375968992248062,0.8204252088078967,0.5217954683114225
drop12,0.7747096208634671,0.803921568627451,0.8361359570661896,0.819712381620484,0.5205001368716511
drop13,0.7755392755392755,0.8045352922389013,0.8368770764119602,0.820387559029474,0.5222576362090499
drop14,0.7762583095916429,0.8052490307187593,0.8372093023255814,0.8209182122225601,0.5238455025892743
drop15,0.7740384615384616,0.8027894002789401,0.8366279069767442,0.8193594306049822,0.5188494521194662
drop16,0.7744260097201273,0.8034165571616294,0.8363885088919288,0.8195710455764076,0.5197930802124265
drop17,0.7742956631845521,0.8036779324055666,0.8356589147286821,0.8193564732708386,0.5196459708203984
drop18,0.7743289848553007,0.8039585296889726,0.835250917992656,0.8193060391403529,0.5198094597716929
drop19,0.7745014245014245,0.8041190955898814,0.8353488372093023,0.8194365233261093,0.5201864864418476
drop20,0.7747931081264414,0.8046958377801494,0.8349944629014396,0.8195652173913043,0.5209352250117115
drop21,0.7742812742812742,0.8041132152311138,0.8348837209302326,0.8192096255575148,0.5197777813304923
drop22,0.7741855567942525,0.8040514218932606,0.8347826086956521,0.8191288818335151,0.5195785356890246
drop23,0.7736229819563153,0.8030557108254146,0.8352713178294574,0.8188467749596275,0.51817601586721
