alpha\evaluation,acc,precision,recall,F-Measure,MCC
drop0,0.7492877492877493,0.7822222222222223,0.8186046511627907,0.8000000000000002,0.46544888195788925
drop1,0.7663817663817664,0.796875,0.8302325581395349,0.8132118451025057,0.5025262135967974
drop2,0.768281101614435,0.7979197622585439,0.8325581395348837,0.8148710166919576,0.5064152384728051
drop3,0.76994301994302,0.8,0.8325581395348837,0.815954415954416,0.5102580158627703
drop4,0.7703703703703704,0.8,0.8334883720930233,0.8164009111617313,0.5110452525232633
drop5,0.7730294396961064,0.8020833333333334,0.8356589147286821,0.8185269552012148,0.5167246118075739
drop6,0.7708587708587709,0.8003826530612245,0.8338870431893688,0.8167914090465342,0.5120884001469121
drop7,0.7702991452991453,0.8001116694584032,0.833139534883721,0.8162916547992026,0.5109555855139044
drop8,0.7701804368471035,0.8,0.8330749354005168,0.8162025316455697,0.5106951371114375
drop9,0.7700854700854701,0.799910674408218,0.8330232558139535,0.8161312371838687,0.5104867722301566
drop10,0.7707847707847708,0.800081103000811,0.8342494714587738,0.8168081142620576,0.5118403157365925
drop11,0.76994301994302,0.7995537374488657,0.8333333333333334,0.8160941355095844,0.5100909050590261
drop12,0.7712031558185405,0.8007557540364136,0.8339892665474061,0.8170347003154576,0.5128621033142922
drop13,0.7708587708587709,0.8001912045889101,0.83421926910299,0.816851008458035,0.5120176499404803
drop14,0.7701804368471035,0.7999404584697827,0.8331782945736435,0.816221142162819,0.5106728896090361
drop15,0.770477207977208,0.7996656450264698,0.8343023255813954,0.8166168729549012,0.5111187113171209
drop16,0.7700687112451818,0.7996849566815437,0.8333789329685363,0.8161843515541265,0.5103716096610056
drop17,0.7701804368471035,0.7998511904761905,0.8333333333333334,0.8162490508731967,0.5106395840029554
drop18,0.7701304543409807,0.8000940733772343,0.8328029375764994,0.8161209068010075,0.5106383112828166
drop19,0.7703703703703704,0.8002680965147453,0.8330232558139535,0.816317228805834,0.511145267653871
drop20,0.7697734364401031,0.7996597192683964,0.832779623477298,0.8158836931756538,0.5098180388422415
drop21,0.7697487697487697,0.7991487636805837,0.833615221987315,0.8160182119205298,0.5095817508084163
drop22,0.768983029852595,0.7985653354013184,0.8329625884732053,0.8154013659309115,0.5079513989594892
drop23,0.7687559354226021,0.7987351190476191,0.8321705426356589,0.8151100987091876,0.5075970701006461
drop24,0.7685470085470085,0.7985714285714286,0.832,0.8149430523917995,0.5071508347283075
drop25,0.7679158448389217,0.797770154373928,0.8320214669051879,0.8145359019264449,0.5056861786153203
drop26,0.768281101614435,0.7981166363786553,0.8322136089577951,0.8148085680553214,0.506489513056618
drop27,0.7680097680097681,0.7978655622809812,0.8320598006644518,0.8146040006505123,0.5058951541834442
drop28,0.7681501129776992,0.7979394125788097,0.8322373696872494,0.8147275867483121,0.50618140761487
drop29,0.7677113010446344,0.7973856209150327,0.8322480620155038,0.8144439387042937,0.5051641011272064
drop30,0.7676684128297031,0.7971555810946703,0.8325581395348837,0.8144723323058858,0.5049982677074667
drop31,0.7678062678062678,0.7973273942093542,0.8325581395348837,0.8145620022753128,0.5053170998938687
drop32,0.7673314339981007,0.7972169683869225,0.8317124735729386,0.8140994688556253,0.5044010050053293
drop33,0.767554885201944,0.7974036191974823,0.83187414500684,0.8142742367434388,0.5048829955918593
drop34,0.7674399674399675,0.7974764211062962,0.8314950166112957,0.8141305054973652,0.5046993713287962
drop35,0.7674897119341564,0.7975216852540272,0.8315245478036176,0.814168247944339,0.5048080576997863
drop36,0.7671517671517671,0.7971555984090635,0.8314267756128221,0.8139305931577651,0.5040472729411994
drop37,0.7672814514919778,0.7975099835564952,0.8310893512851897,0.8139534883720929,0.5044210071302612
