alpha\evaluation,acc,precision,recall,F-Measure,MCC
drop0,0.7948717948717948,0.8264840182648402,0.8418604651162791,0.8341013824884792,0.5656692601488202
drop1,0.7877492877492878,0.8171557562076749,0.8418604651162791,0.829324169530355,0.5493116359174774
drop2,0.7806267806267806,0.8062130177514792,0.8449612403100775,0.8251324753974261,0.5323534381064778
drop3,0.7777777777777778,0.8078651685393259,0.836046511627907,0.8217142857142858,0.5275939891841672
drop4,0.7777777777777778,0.8082808280828083,0.8353488372093023,0.8215919487648674,0.527744461027023
drop5,0.7763532763532763,0.806282722513089,0.8356589147286821,0.8207080319756377,0.5243921709340089
drop6,0.778998778998779,0.8091259640102828,0.8365448504983388,0.8226069911793531,0.5303017158044099
drop7,0.7792022792022792,0.8089887640449438,0.8372093023255814,0.822857142857143,0.530628871601179
drop8,0.7799936688825577,0.81,0.8372093023255814,0.8233799237611182,0.5324520390850445
drop9,0.780911680911681,0.8100583744948361,0.8390697674418605,0.8243088873657757,0.5341735285382662
drop10,0.7798497798497799,0.8085539714867617,0.8393234672304439,0.8236514522821576,0.5316774845315145
drop11,0.7803893637226971,0.8098090602770498,0.8383720930232558,0.823843077509046,0.5331171967373977
drop12,0.7779969318430857,0.8083044982698961,0.835778175313059,0.8218117854001759,0.5281570146120275
drop13,0.7785917785917786,0.8088046272493573,0.8362126245847176,0.822280300555374,0.5294349111296558
drop14,0.7775878442545109,0.8076692630317556,0.835968992248062,0.8215754990095993,0.5271726981800405
drop15,0.7772435897435898,0.8080495356037152,0.834593023255814,0.8211068211068211,0.5266767078125937
drop16,0.7761018937489526,0.8076412841602547,0.8328317373461013,0.820043103448276,0.5244300287114037
drop17,0.7755618866729977,0.8065,0.8335917312661498,0.8198221092757306,0.5230144784153579
drop18,0.7752286699655121,0.8061079545454546,0.8335373317013464,0.8195932121795643,0.5222569882496063
drop19,0.7747863247863248,0.8051627384960718,0.8341860465116279,0.8194174757281553,0.5210939688922501
drop20,0.7734364401031067,0.8036286019210246,0.8338870431893688,0.8184782608695652,0.5180420104991542
