alpha\evaluation,acc,precision,recall,F-Measure,MCC
drop0,0.7720797720797721,0.7947598253275109,0.8465116279069768,0.8198198198198198,0.5124627949843085
drop1,0.7692307692307693,0.793859649122807,0.8418604651162791,0.8171557562076749,0.5067440741233749
drop2,0.7654320987654321,0.7943786982248521,0.8325581395348837,0.8130204390613172,0.49982491119530403
drop3,0.76994301994302,0.8,0.8325581395348837,0.815954415954416,0.5102580158627703
drop4,0.7703703703703704,0.8005366726296959,0.8325581395348837,0.816233470132239,0.511245991744549
drop5,0.7697056030389364,0.8005974607916355,0.8310077519379845,0.8155192088246481,0.5100488102488289
drop6,0.7696377696377696,0.8015414258188824,0.8292358803986711,0.8151534944480732,0.5102895162075428
drop7,0.7678062678062678,0.7996632996632996,0.8284883720930233,0.8138206739006282,0.5062169135774257
drop8,0.768281101614435,0.8,0.8289405684754522,0.8142131979695432,0.5072143050650328
drop9,0.7692307692307693,0.8001792114695341,0.8306976744186046,0.815152898219991,0.5090188371837987
drop10,0.7666407666407666,0.7975609756097561,0.8295983086680762,0.8132642487046633,0.5032666863799555
drop11,0.7661443494776828,0.7970204841713222,0.8294573643410853,0.8129154795821463,0.5021480923965778
drop12,0.7655051501205348,0.7971064416121254,0.827906976744186,0.8122148122148122,0.5010152777422965
drop13,0.7655677655677655,0.796994884910486,0.8282392026578073,0.812316715542522,0.5010851916412932
drop14,0.7660018993352327,0.7973739182333631,0.8285271317829458,0.8126520681265207,0.5020265185222862
drop15,0.7662037037037037,0.7978157378885466,0.8281976744186047,0.812722864070746,0.5025688156060548
drop16,0.7662141779788839,0.79768177028451,0.8284541723666211,0.812776808482083,0.5025350136972242
drop17,0.767173156062045,0.7984573276934561,0.8291989664082687,0.8135378374952467,0.5045893349060978
drop18,0.7657819763082921,0.7973132217770446,0.8281517747858017,0.8124399615754083,0.5016015774431195
drop19,0.7665242165242165,0.7978509066487576,0.8288372093023256,0.8130489335006275,0.5031671321130968
drop20,0.7666530999864333,0.7981651376146789,0.8285714285714286,0.8130841121495327,0.5035257753690723
drop21,0.7671587671587672,0.7985743380855397,0.8289640591966173,0.8134854771784233,0.5046088649812881
drop22,0.7674965935835502,0.7987923646279704,0.8293225480283114,0.8137712074610577,0.5053108191899579
drop23,0.7673314339981007,0.7988419872992155,0.828875968992248,0.8135818908122503,0.5050287978213928
drop24,0.7664957264957265,0.7981355324489064,0.8282790697674418,0.812927964941112,0.5032272538295851
drop25,0.7668200745123822,0.7986542443064182,0.8280858676207513,0.813103811698577,0.5040230002205452
drop26,0.7665928036298406,0.7983723633947849,0.8280792420327304,0.812954507018434,0.5034976904086444
