alpha\evaluation,acc,precision,recall,F-Measure,MCC
drop0,0.7549857549857549,0.7945205479452054,0.8093023255813954,0.8018433179723502,0.4811593870984949
drop1,0.7663817663817664,0.8009049773755657,0.8232558139534883,0.8119266055045871,0.5041423325113166
drop2,0.7692307692307693,0.8018018018018018,0.827906976744186,0.8146453089244851,0.5096512601993103
drop3,0.7678062678062678,0.801354401805869,0.8255813953488372,0.813287514318442,0.5068922158134688
drop4,0.7680911680911681,0.8009009009009009,0.8269767441860465,0.8137299771167048,0.5072253367882721
drop5,0.7687559354226021,0.8025621703089676,0.8255813953488372,0.8139090561711885,0.5090957439435386
drop6,0.7692307692307693,0.8029715762273901,0.8259136212624585,0.8142810350474943,0.5101183389591244
drop7,0.7702991452991453,0.8028169014084507,0.8284883720930233,0.8154506437768241,0.5119924239868012
drop8,0.7708135485913263,0.8025987006496752,0.8299741602067183,0.8160569105691058,0.512844235474331
drop9,0.7715099715099715,0.8036036036036036,0.8297674418604651,0.8164759725400458,0.5145031070213868
drop10,0.77000777000777,0.8020449897750511,0.8291754756871036,0.8153846153846154,0.5111600945812085
drop11,0.7701804368471035,0.8020989505247377,0.8294573643410853,0.815548780487805,0.5114957675877208
drop12,0.7701073854920009,0.802076124567474,0.8293381037567084,0.8154793315743184,0.5113537353359516
drop13,0.77004477004477,0.8020565552699229,0.8292358803986711,0.8154197974518131,0.5112320129598196
drop14,0.7716999050332384,0.8034803480348035,0.8303875968992248,0.8167124123208296,0.5148019901292121
drop15,0.7711894586894587,0.8029238122012933,0.8302325581395349,0.816349864227526,0.5136558264794949
drop16,0.771409418468242,0.8031225191849696,0.8303693570451436,0.81651869787463,0.5141339475540211
drop17,0.7704969927192149,0.8020469296055917,0.8302325581395349,0.8158963941086846,0.5120532651763404
drop18,0.7708801919328235,0.8024603737875562,0.8303549571603427,0.8161693936477382,0.5129125382042563
drop19,0.770940170940171,0.8026079136690647,0.8302325581395349,0.8161865569272977,0.5130789201968675
drop20,0.7707231040564374,0.8017517624439222,0.8312292358803987,0.8162244454110483,0.5123536261897849
drop21,0.77000777000777,0.8010599266204648,0.8308668076109936,0.8156911581569116,0.5107792526975936
drop22,0.7698501176762046,0.8010532475131656,0.8305358948432761,0.8155281969817316,0.5104881938436386
drop23,0.7700617283950617,0.8012712656571321,0.8306201550387597,0.8156817965553335,0.5109590780828612
drop24,0.7698005698005698,0.8002505817075354,0.8318139534883721,0.8157270571063675,0.5100908322124916
drop25,0.769997808459347,0.8004820106730934,0.8318425760286225,0.815861040442144,0.5105407264242983
drop26,0.769758362350955,0.800364781959874,0.8315245478036176,0.8156471781007096,0.5100567485406551
drop27,0.7698412698412699,0.8003516624040921,0.8317275747508306,0.8157380254154447,0.5102039064232883
drop28,0.7687395618430101,0.7992289899768698,0.8312750601443464,0.814937106918239,0.5077546268059759
drop29,0.7692307692307693,0.7994636471990465,0.831937984496124,0.8153776021881174,0.5087458552916877
drop30,0.76895505927764,0.7992790194664744,0.8316579144786197,0.8151470588235294,0.5081692740736251
drop31,0.7685185185185185,0.7991333519709254,0.8309593023255814,0.814735642012256,0.5073126218565712
drop32,0.7684537684537684,0.7993487993487993,0.8304439746300212,0.8145997511406056,0.5072767826534831
drop33,0.7683090330149154,0.7992100065832785,0.8303693570451436,0.8144917812814492,0.5069583103166433
drop34,0.7684981684981685,0.7993349533188387,0.8305647840531561,0.8146506777893638,0.5073527500788079
drop35,0.7678854067742956,0.7986827389089102,0.8303617571059432,0.814214226895547,0.5059792889154439
drop36,0.7681527681527681,0.7990563755141543,0.8302954116907605,0.8143764256211085,0.5066129836961782
