alpha\evaluation,acc,precision,recall,F-Measure,MCC
drop0,0.7777777777777778,0.8071748878923767,0.8372093023255814,0.821917808219178,0.5273468522876185
drop1,0.7749287749287749,0.8035714285714286,0.8372093023255814,0.8200455580865604,0.5207812970106529
drop2,0.7663817663817664,0.7964338781575037,0.8310077519379845,0.8133535660091046,0.5023562380000257
drop3,0.76994301994302,0.8,0.8325581395348837,0.815954415954416,0.5102580158627703
drop4,0.7715099715099715,0.8008928571428572,0.8344186046511628,0.8173120728929385,0.5134792636451107
drop5,0.7706552706552706,0.8004467609828742,0.8333333333333334,0.8165590581086213,0.5117368794520265
drop6,0.7708587708587709,0.8,0.8345514950166113,0.816910569105691,0.5119472633156774
drop7,0.7720797720797721,0.8006681514476615,0.836046511627907,0.8179749715585892,0.5144524723861986
drop8,0.7708135485913263,0.7990123456790124,0.8361757105943153,0.8171717171717172,0.511504043324665
drop9,0.7698005698005698,0.7984875444839857,0.8348837209302326,0.8162801273306048,0.5094336204264867
drop10,0.7694897694897694,0.7977392006459427,0.8355179704016913,0.8161916563403553,0.5085841097899472
drop11,0.7706552706552706,0.7984467455621301,0.8368217054263566,0.8171839515518545,0.51100659232102
drop12,0.769669077361385,0.7974079126875853,0.8364937388193202,0.8164833246027589,0.5087978640543216
drop13,0.7698412698412699,0.7979701871233745,0.8358803986710963,0.8164854778516955,0.5093208462604082
drop14,0.7699905033238367,0.798281990521327,0.8356589147286821,0.8165429480381761,0.5097110235534916
drop15,0.7692307692307693,0.7979433018343525,0.834593023255814,0.8158567774936063,0.5081783657875206
drop16,0.7688955924250042,0.7979057591623037,0.8339261285909713,0.8155183946488295,0.5075442184800695
drop17,0.7685976574865464,0.7977250247279921,0.8335917312661498,0.81526408895628,0.5069264228313175
drop18,0.7690808217124007,0.7980791754509253,0.8340269277845778,0.8156571702178597,0.5079509545395235
drop19,0.7685185185185185,0.7976852882261295,0.8334883720930233,0.8151939042420107,0.5067654245883517
drop20,0.7685524352191019,0.7980055166560577,0.8330011074197121,0.8151278716948417,0.5069476466965332
drop21,0.7687127687127687,0.7979757085020243,0.8334038054968288,0.8153050672182005,0.5072324006452958
drop22,0.7687352904744209,0.7980247869868319,0.8333670374115268,0.8153130873479078,0.5072922841718042
drop23,0.7681623931623932,0.7973298720563694,0.8333333333333334,0.8149341419501563,0.5059751063798361
drop24,0.7678632478632479,0.7968694414799004,0.8334883720930233,0.8147676639083385,0.5052506859928507
drop25,0.7678062678062678,0.7971237801746276,0.8329159212880143,0.8146268917854955,0.5052405592538451
drop26,0.7677535084942493,0.7970656116056709,0.8329026701119724,0.8145901777440822,0.5051213847823872
drop27,0.7666870166870167,0.7959345720184214,0.8325581395348837,0.8138345376309165,0.50272824672069
drop28,0.7667747322919737,0.7962252570201013,0.8322373696872494,0.8138331242158092,0.5029997815617686
drop29,0.7666666666666667,0.7960848287112561,0.8322480620155038,0.8137648753126658,0.5027474701043015
drop30,0.7666574763348957,0.7962377943710511,0.8319579894973743,0.813706067943356,0.5027885075039468
drop31,0.7654914529914529,0.7950250138966092,0.8315406976744186,0.8128729752770674,0.5001797180469177
drop32,0.7654320987654321,0.7949339800592832,0.8315715292459479,0.81284011848178,0.5000356822986266
drop33,0.7659627953745601,0.7954991495486066,0.8317373461012312,0.8132147395171537,0.5012283789132536
drop34,0.7663003663003664,0.7958301550978897,0.8318936877076412,0.813462413098564,0.5019759808383645
drop35,0.7661443494776828,0.7959183673469388,0.8313953488372093,0.8132701421800947,0.5017224324967013
drop36,0.7663047663047663,0.7961001444390948,0.8314267756128221,0.8133800651786263,0.5020869399107509
drop37,0.7666066876593193,0.7963201687565921,0.8317013463892289,0.8136262946776027,0.5027263199897778
drop38,0.7667470231572796,0.7964824120603015,0.8317233154442457,0.8137214864943701,0.503046332418906
drop39,0.7665954415954416,0.7965459610027855,0.8312790697674418,0.8135419630156473,0.5027917973131271
